Cycles	Fluorescence	Sample	genotype
33	10.32800126	B1	S5
34	11.31200748	B1	S5
35	12.07858469	B1	S5
36	12.54746644	B1	S5
37	12.80776387	B1	S5
38	12.93846226	B1	S5
39	12.95838104	B1	S5
40	12.96507049	B1	S5
1	-0.022562271	B2	S5
2	0.00903158	B2	S5
3	0.00846426	B2	S5
4	0.001630127	B2	S5
5	-0.014142489	B2	S5
6	-0.004983478	B2	S5
7	-0.021553051	B2	S5
8	-0.02175792	B2	S5
9	-0.021930466	B2	S5
10	0.003259527	B2	S5
11	-0.02094206	B2	S5
12	-0.012357278	B2	S5
13	-0.019801565	B2	S5
14	-0.028392843	B2	S5
15	0.013978747	B2	S5
16	-0.019139212	B2	S5
17	0.011428154	B2	S5
18	-0.013978187	B2	S5
19	-0.021037701	B2	S5
20	-0.004440267	B2	S5
21	0.028028	B2	S5
22	0.004137039	B2	S5
23	0.044743186	B2	S5
24	0.076934016	B2	S5
25	0.185139324	B2	S5
26	0.308102806	B2	S5
27	0.587038564	B2	S5
28	1.046524821	B2	S5
29	1.721776323	B2	S5
30	2.757168525	B2	S5
31	4.00340001	B2	S5
32	5.491958372	B2	S5
33	7.041869482	B2	S5
34	8.576018136	B2	S5
35	10.09479697	B2	S5
36	11.31353608	B2	S5
37	12.26838346	B2	S5
38	12.86987721	B2	S5
39	13.17714281	B2	S5
40	13.42203299	B2	S5
1	-0.019896814	B3	S5
2	0.01780865	B3	S5
3	0.009171653	B3	S5
4	-0.004721546	B3	S5
5	-0.019656063	B3	S5
6	-0.002602694	B3	S5
7	-0.026465846	B3	S5
8	-0.003103004	B3	S5
9	-0.019116144	B3	S5
10	-0.026188517	B3	S5
11	-0.08077506	B3	S5
12	-0.064518403	B3	S5
13	-0.039840277	B3	S5
14	-0.048240828	B3	S5
15	-0.03068463	B3	S5
16	-0.0285558	B3	S5
17	-0.000102181	B3	S5
18	0.006752559	B3	S5
19	-0.02322387	B3	S5
20	-0.015104255	B3	S5
21	0.031677748	B3	S5
22	0.016941835	B3	S5
23	0.134657352	B3	S5
24	0.23631589	B3	S5
25	0.467163883	B3	S5
26	0.869298179	B3	S5
27	1.484312667	B3	S5
28	2.430461836	B3	S5
29	3.656394418	B3	S5
30	5.132246103	B3	S5
31	6.729701701	B3	S5
32	8.32533901	B3	S5
33	9.819755874	B3	S5
34	11.00245504	B3	S5
35	11.93866332	B3	S5
36	12.55630519	B3	S5
37	13.02291289	B3	S5
38	13.20558185	B3	S5
39	13.27264447	B3	S5
40	13.35669915	B3	S5
1	-0.042136838	B4	N
2	0.024755026	B4	N
3	-0.021863999	B4	N
4	-0.004579437	B4	N
5	0.00393792	B4	N
6	-0.00224951	B4	N
7	-0.002508311	B4	N
8	-0.033348	B4	N
9	-0.018348551	B4	N
10	-0.025097204	B4	N
11	-0.039779465	B4	N
12	-0.046845849	B4	N
13	-0.060999105	B4	N
14	-0.046274518	B4	N
15	-0.06723878	B4	N
16	-0.008957964	B4	N
17	-0.004711078	B4	N
18	0.009468653	B4	N
19	-0.004121869	B4	N
20	-0.011493113	B4	N
21	0.010857407	B4	N
22	-0.010967307	B4	N
23	0.011352122	B4	N
24	-0.035449571	B4	N
25	0.004843754	B4	N
26	-0.003123669	B4	N
27	-0.026555601	B4	N
28	-0.042618087	B4	N
29	-0.041627739	B4	N
30	-0.03484193	B4	N
31	-0.052770599	B4	N
32	-0.022561559	B4	N
33	-0.055401463	B4	N
34	-0.054370693	B4	N
35	-0.032685629	B4	N
36	-0.086197533	B4	N
37	-0.032710843	B4	N
38	-0.04797633	B4	N
39	-0.053300049	B4	N
40	-0.071103758	B4	N
1	-0.024290163	D5	S5
2	0.032431112	D5	S5
3	0.009107384	D5	S5
4	0.004430013	D5	S5
5	-0.016563974	D5	S5
6	-0.029404536	D5	S5
7	-0.051980763	D5	S5
8	-0.081898502	D5	S5
9	-0.082267805	D5	S5
10	-0.081116205	D5	S5
11	-0.109932207	D5	S5
12	-0.123937625	D5	S5
13	-0.12985278	D5	S5
14	-0.130584682	D5	S5
15	-0.135335772	D5	S5
16	-0.009017815	D5	S5
17	0.008734019	D5	S5
18	-0.014950739	D5	S5
19	-0.020142372	D5	S5
20	0.009841315	D5	S5
21	0.016517776	D5	S5
22	0.017991065	D5	S5
23	0.083868753	D5	S5
24	0.208528607	D5	S5
25	0.441163439	D5	S5
26	0.811408268	D5	S5
27	1.425981856	D5	S5
28	2.314540412	D5	S5
29	3.451992869	D5	S5
30	4.823447081	D5	S5
31	6.301016756	D5	S5
32	7.807605615	D5	S5
33	9.092297785	D5	S5
34	10.21158346	D5	S5
35	11.03900939	D5	S5
36	11.64914455	D5	S5
37	12.0282489	D5	S5
38	12.21464333	D5	S5
39	12.3005185	D5	S5
40	12.37798929	D5	S5
1	-0.08697102	E4	S5
2	0.024261388	E4	S5
3	0.000486534	E4	S5
4	-0.019667717	E4	S5
5	0.004109793	E4	S5
6	-0.009189997	E4	S5
7	-0.009545788	E4	S5
8	-0.025029517	E4	S5
9	-0.032941992	E4	S5
10	-0.016716629	E4	S5
11	-0.023554109	E4	S5
12	-0.015253128	E4	S5
13	-0.021381192	E4	S5
14	-0.044815712	E4	S5
15	-0.02713781	E4	S5
16	-0.044369592	E4	S5
17	-0.018329825	E4	S5
18	-0.012178616	E4	S5
19	-0.010047426	E4	S5
20	0.005480998	E4	S5
21	0.035074869	E4	S5
22	0.074395118	E4	S5
23	0.217631106	E4	S5
24	0.443760399	E4	S5
25	0.818269484	E4	S5
26	1.424594526	E4	S5
27	2.341585916	E4	S5
28	3.561676457	E4	S5
29	5.090201367	E4	S5
30	6.706032454	E4	S5
31	8.323460292	E4	S5
