Cycles	Fluorescence	Sample	genotype
7	-0.010622273	B2	N
8	0.047974979	B2	N
9	0.105681614	B2	N
10	0.168622795	B2	N
11	0.224320911	B2	N
12	0.228039681	B2	N
13	0.172917768	B2	N
14	0.178082113	B2	N
15	0.29285904	B2	N
16	0.127776368	B2	N
17	0.246521988	B2	N
18	0.362533594	B2	N
19	0.247255487	B2	N
20	0.364014452	B2	N
21	0.312356083	B2	N
22	0.138603552	B2	N
23	0.081011297	B2	N
24	0.305472654	B2	N
25	0.310705944	B2	N
26	0.536069932	B2	N
27	0.317971972	B2	N
28	0.368522702	B2	N
29	0.377438338	B2	N
30	0.318987045	B2	N
31	0.369441199	B2	N
32	0.486689304	B2	N
33	0.367828537	B2	N
34	0.489131247	B2	N
35	0.486073232	B2	N
36	0.69780411	B2	N
37	0.949699845	B2	N
38	1.623392989	B2	N
39	1.919243641	B2	N
40	3.002904483	B2	N
1	-0.164213694	B3	N
2	-0.054645967	B3	N
3	0.001554788	B3	N
4	-0.00084009	B3	N
5	0.055473464	B3	N
6	-0.001542195	B3	N
7	0.00056495	B3	N
8	-0.051367968	B3	N
9	0.05822231	B3	N
10	0.064780815	B3	N
11	0.172531119	B3	N
12	0.067587814	B3	N
13	0.123451108	B3	N
14	0.128730241	B3	N
15	0.130118335	B3	N
16	0.135389369	B3	N
17	0.140571251	B3	N
18	0.197352956	B3	N
19	0.195927992	B3	N
20	0.253458833	B3	N
21	0.258882868	B3	N
22	0.091881604	B3	N
23	0.145975113	B3	N
24	0.197205498	B3	N
25	0.202500244	B3	N
26	0.309412743	B3	N
27	0.319602241	B3	N
28	0.313071015	B3	N
29	0.596549584	B3	N
30	0.869540313	B3	N
31	1.409608826	B3	N
32	2.400519219	B3	N
33	3.269980428	B3	N
34	4.325507515	B3	N
35	5.362069171	B3	N
36	6.474450029	B3	N
37	7.299475305	B3	N
38	8.149312308	B3	N
39	8.7762367	B3	N
40	9.209265847	B3	N
1	-0.096291984	B4	N
2	-0.09498308	B4	N
3	-0.040433747	B4	N
4	0.062190602	B4	N
5	0.011799766	B4	N
6	0.061426459	B4	N
7	0.011034692	B4	N
8	0.065821025	B4	N
9	0.172327521	B4	N
10	0.0737613	B4	N
11	0.230947774	B4	N
12	0.129380027	B4	N
13	0.236253715	B4	N
14	0.18893999	B4	N
15	0.296117907	B4	N
16	0.195836787	B4	N
17	0.25411044	B4	N
18	0.309420081	B4	N
19	0.254914045	B4	N
20	0.363948088	B4	N
21	0.36950303	B4	N
22	0.154276428	B4	N
23	0.153634248	B4	N
24	0.362158039	B4	N
25	0.314647826	B4	N
26	0.418164782	B4	N
27	0.375304638	B4	N
