temperature	df/dt	Sample	genotype
80.50328767	0.575224445	C1	S23
80.56318982	0.582009207	C1	S23
80.62309198	0.588000382	C1	S23
80.68299413	0.590834874	C1	S23
80.74289628	0.590673237	C1	S23
80.80279843	0.589201835	C1	S23
80.86270059	0.587949223	C1	S23
80.92260274	0.586516782	C1	S23
80.98250489	0.584574316	C1	S23
81.04240705	0.583926227	C1	S23
81.1023092	0.585120596	C1	S23
81.16221135	0.586106874	C1	S23
81.2221135	0.584942473	C1	S23
81.28201566	0.580691295	C1	S23
81.34191781	0.574645498	C1	S23
81.40181996	0.570817937	C1	S23
81.46172211	0.571471756	C1	S23
81.52162427	0.574444982	C1	S23
81.58152642	0.57807486	C1	S23
81.64142857	0.581821144	C1	S23
81.70133072	0.584796946	C1	S23
81.76123288	0.586076414	C1	S23
81.82113503	0.58714199	C1	S23
81.88103718	0.588547763	C1	S23
81.94093933	0.587892322	C1	S23
82.00084149	0.585160567	C1	S23
82.06074364	0.581101472	C1	S23
82.12064579	0.57679215	C1	S23
82.18054795	0.573846758	C1	S23
82.2404501	0.570641198	C1	S23
82.30035225	0.565391544	C1	S23
82.3602544	0.560403784	C1	S23
82.42015656	0.557320717	C1	S23
82.48005871	0.55397665	C1	S23
82.53996086	0.548616937	C1	S23
82.59986301	0.543194318	C1	S23
82.65976517	0.538716659	C1	S23
82.71966732	0.534943597	C1	S23
82.77956947	0.531569633	C1	S23
82.83947162	0.528512082	C1	S23
82.89937378	0.527454874	C1	S23
82.95927593	0.527864193	C1	S23
83.01917808	0.528254097	C1	S23
83.07908023	0.529913521	C1	S23
83.13898239	0.532401111	C1	S23
83.19888454	0.533090357	C1	S23
83.25878669	0.53122972	C1	S23
83.31868885	0.52677008	C1	S23
83.378591	0.521531425	C1	S23
83.43849315	0.519368545	C1	S23
83.4983953	0.520438885	C1	S23
83.55829746	0.521559297	C1	S23
83.61819961	0.520422028	C1	S23
83.67810176	0.516830662	C1	S23
83.73800391	0.51343874	C1	S23
83.79790607	0.512698952	C1	S23
83.85780822	0.514129375	C1	S23
83.91771037	0.516401424	C1	S23
83.97761252	0.518161941	C1	S23
84.03751468	0.517573021	C1	S23
84.09741683	0.514191137	C1	S23
84.15731898	0.510611828	C1	S23
84.21722114	0.508875933	C1	S23
84.27712329	0.507023681	C1	S23
84.33702544	0.503537057	C1	S23
84.39692759	0.500232658	C1	S23
84.45682975	0.498989889	C1	S23
84.5167319	0.499852406	C1	S23
84.57663405	0.501874845	C1	S23
84.6365362	0.503452944	C1	S23
84.69643836	0.502485106	C1	S23
84.75634051	0.498189077	C1	S23
84.81624266	0.491396731	C1	S23
84.87614481	0.483310754	C1	S23
84.93604697	0.476321963	C1	S23
84.99594912	0.471461753	C1	S23
85.05585127	0.467375036	C1	S23
85.11575342	0.464864297	C1	S23
85.17565558	0.465119862	C1	S23
85.23555773	0.466546319	C1	S23
85.29545988	0.467500276	C1	S23
85.35536204	0.468203736	C1	S23
85.41526419	0.470275907	C1	S23
85.47516634	0.472877635	C1	S23
85.53506849	0.473159115	C1	S23
85.59497065	0.470550262	C1	S23
85.6548728	0.46604625	C1	S23
85.71477495	0.460155349	C1	S23
85.7746771	0.4526648	C1	S23
85.83457926	0.444684826	C1	S23
85.89448141	0.438177835	C1	S23
85.95438356	0.433691099	C1	S23
86.01428571	0.429737821	C1	S23
86.07418787	0.424585475	C1	S23
86.13409002	0.41868747	C1	S23
86.19399217	0.414064934	C1	S23
86.25389432	0.413051271	C1	S23
86.31379648	0.416325418	C1	S23
86.37369863	0.421782141	C1	S23
86.43360078	0.426741364	C1	S23
86.49350294	0.429548211	C1	S23
86.55340509	0.429294458	C1	S23
86.61330724	0.425806121	C1	S23
86.67320939	0.419993055	C1	S23
86.73311155	0.413824902	C1	S23
86.7930137	0.408960112	C1	S23
86.85291585	0.405139925	C1	S23
86.912818	0.402279966	C1	S23
86.97272016	0.400868458	C1	S23
87.03262231	0.400829476	C1	S23
87.09252446	0.402420617	C1	S23
87.15242661	0.40514427	C1	S23
87.21232877	0.40778244	C1	S23
87.27223092	0.408553533	C1	S23
87.33213307	0.406703978	C1	S23
87.39203523	0.404472699	C1	S23
87.45193738	0.40329977	C1	S23
87.51183953	0.401942838	C1	S23
87.57174168	0.398999156	C1	S23
87.63164384	0.394902288	C1	S23
87.69154599	0.391590847	C1	S23
87.75144814	0.389973013	C1	S23
87.81135029	0.388913129	C1	S23
87.87125245	0.386884892	C1	S23
87.9311546	0.383167906	C1	S23
87.99105675	0.377547955	C1	S23
88.0509589	0.370233455	C1	S23
88.11086106	0.363775454	C1	S23
88.17076321	0.359994412	C1	S23
88.23066536	0.357295551	C1	S23
88.29056751	0.35515046	C1	S23
88.35046967	0.354023349	C1	S23
88.41037182	0.351789173	C1	S23
88.47027397	0.346905736	C1	S23
88.53017613	0.341534959	C1	S23
88.59007828	0.338587781	C1	S23
88.64998043	0.339758949	C1	S23
88.70988258	0.344270008	C1	S23
88.76978474	0.349423229	C1	S23
88.82968689	0.352582849	C1	S23
88.88958904	0.35202418	C1	S23
88.94949119	0.348228845	C1	S23
89.00939335	0.342831072	C1	S23
89.0692955	0.337422617	C1	S23
89.12919765	0.332614088	C1	S23
89.1890998	0.327990772	C1	S23
89.24900196	0.322695508	C1	S23
89.30890411	0.315861309	C1	S23
89.36880626	0.308438857	C1	S23
89.42870841	0.301582153	C1	S23
89.48861057	0.296264546	C1	S23
89.54851272	0.295072078	C1	S23
89.60841487	0.299547457	C1	S23
89.66831703	0.307450674	C1	S23
89.72821918	0.315034105	C1	S23
89.78812133	0.319690699	C1	S23
89.84802348	0.320074817	C1	S23
89.90792564	0.316655132	C1	S23
89.96782779	0.311275341	C1	S23
90.02772994	0.30584214	C1	S23
90.08763209	0.300801586	C1	S23
90.14753425	0.295356914	C1	S23
90.2074364	0.289517527	C1	S23
90.26733855	0.28378732	C1	S23
90.3272407	0.278877884	C1	S23
90.38714286	0.27557925	C1	S23
90.44704501	0.274022066	C1	S23
90.50694716	0.272844932	C1	S23
90.56684932	0.270461025	C1	S23
90.62675147	0.267413091	C1	S23
90.68665362	0.264399433	C1	S23
90.74655577	0.261788101	C1	S23
90.80645793	0.260696078	C1	S23
90.86636008	0.26188239	C1	S23
