Cycles	Fluorescence	Sample	genotype
5	-0.090400598	F3	S20S24
6	0.048210304	F3	S20S24
7	-0.057050552	F3	S20S24
8	-0.032766085	F3	S20S24
9	0.198347968	F3	S20S24
10	-0.00498719	F3	S20S24
11	0.071617242	F3	S20S24
12	-0.075315982	F3	S20S24
13	0.068352337	F3	S20S24
14	0.081498797	F3	S20S24
15	-0.218800634	F3	S20S24
16	0.07663119	F3	S20S24
17	0.076736651	F3	S20S24
18	-0.073448146	F3	S20S24
19	0.223391925	F3	S20S24
20	0.081468024	F3	S20S24
21	0.228688053	F3	S20S24
22	0.521986347	F3	S20S24
23	0.885030669	F3	S20S24
24	1.558163384	F3	S20S24
25	3.132390911	F3	S20S24
26	5.531011829	F3	S20S24
27	9.213307776	F3	S20S24
28	13.9416681	F3	S20S24
29	19.42595232	F3	S20S24
30	24.59268808	F3	S20S24
31	29.28352848	F3	S20S24
32	33.21209884	F3	S20S24
33	36.11680276	F3	S20S24
34	38.05886367	F3	S20S24
35	39.56446666	F3	S20S24
36	40.38101377	F3	S20S24
37	40.53719979	F3	S20S24
38	41.15011731	F3	S20S24
39	41.00574857	F3	S20S24
40	41.0716345	F3	S20S24
1	-0.439521833	F5	N
2	0.06408576	F5	N
3	-0.202433548	F5	N
4	0.097663162	F5	N
5	0.027287464	F5	N
6	0.013397163	F5	N
7	-0.164641451	F5	N
8	0.14758999	F5	N
9	0.080861747	F5	N
10	-0.191097921	F5	N
11	0.101533002	F5	N
12	-0.114133537	F5	N
13	-0.119830511	F5	N
14	0.037633948	F5	N
15	-0.108189476	F5	N
16	-0.039728694	F5	N
17	-0.185477519	F5	N
18	-0.039700132	F5	N
19	-0.115664086	F5	N
20	0.110379159	F5	N
21	0.034638811	F5	N
22	0.101379269	F5	N
23	-0.127260056	F5	N
24	-0.05608347	F5	N
25	-0.20183242	F5	N
26	-0.057195689	F5	N
27	-0.126431685	F5	N
28	0.019276177	F5	N
29	-0.197755767	F5	N
30	-0.129523219	F5	N
31	-0.139638907	F5	N
32	-0.13358185	F5	N
33	-0.139010693	F5	N
34	-0.213759593	F5	N
35	-0.213190436	F5	N
36	-0.215234667	F5	N
37	-0.141815372	F5	N
38	-0.067132972	F5	N
39	-0.285158556	F5	N
40	-0.287914398	F5	N
1	-0.018308477	G1	N
2	-0.177788728	G1	N
3	0.002107286	G1	N
4	0.176005864	G1	N
5	0.014934978	G1	N
6	-0.015259401	G1	N
7	0.019699812	G1	N
8	0.039086327	G1	N
9	0.044272963	G1	N
10	-0.185715572	G1	N
11	0.144996577	G1	N
12	-0.099663963	G1	N
13	-0.187001264	G1	N
14	-0.176854533	G1	N
15	-0.176738586	G1	N
16	-0.18070926	G1	N
17	-0.180635107	G1	N
18	-0.180586222	G1	N
19	-0.183300155	G1	N
20	-0.176928717	G1	N
21	-0.344322927	G1	N
22	-0.184890719	G1	N
23	-0.193950885	G1	N
