temperature	df/dt	Sample	genotype
77.49127202	0.287006954	A1	S5
77.55123288	0.277432886	A1	S5
77.61119374	0.268815202	A1	S5
77.6711546	0.262942928	A1	S5
77.73111546	0.259062636	A1	S5
77.79107632	0.254271499	A1	S5
77.85103718	0.247614162	A1	S5
77.91099804	0.240710051	A1	S5
77.9709589	0.236206718	A1	S5
78.03091977	0.236440663	A1	S5
78.09088063	0.240525784	A1	S5
78.15084149	0.245036476	A1	S5
78.21080235	0.247572357	A1	S5
78.27076321	0.247013475	A1	S5
78.33072407	0.24427848	A1	S5
78.39068493	0.241610742	A1	S5
78.45064579	0.240001859	A1	S5
78.51060665	0.239061047	A1	S5
78.57056751	0.237827549	A1	S5
78.63052838	0.235372375	A1	S5
78.69048924	0.232454616	A1	S5
78.7504501	0.229663849	A1	S5
78.81041096	0.226010782	A1	S5
78.87037182	0.221071781	A1	S5
78.93033268	0.215725538	A1	S5
78.99029354	0.211638827	A1	S5
79.0502544	0.209131585	A1	S5
79.11021526	0.207136591	A1	S5
79.17017613	0.20490659	A1	S5
79.23013699	0.202830053	A1	S5
79.29009785	0.201536917	A1	S5
79.35005871	0.201196664	A1	S5
79.41001957	0.202126545	A1	S5
79.46998043	0.2050933	A1	S5
79.52994129	0.210002424	A1	S5
79.58990215	0.215450683	A1	S5
79.64986301	0.21935572	A1	S5
79.70982387	0.220066179	A1	S5
79.76978474	0.217653585	A1	S5
79.8297456	0.213283462	A1	S5
79.88970646	0.208864847	A1	S5
79.94966732	0.204986794	A1	S5
80.00962818	0.201397734	A1	S5
80.06958904	0.198201546	A1	S5
80.1295499	0.194291607	A1	S5
80.18951076	0.188507225	A1	S5
80.24947162	0.181421182	A1	S5
80.30943249	0.175576522	A1	S5
80.36939335	0.173036411	A1	S5
80.42935421	0.172604029	A1	S5
80.48931507	0.172714225	A1	S5
80.54927593	0.173415896	A1	S5
80.60923679	0.174956975	A1	S5
80.66919765	0.176627494	A1	S5
80.72915851	0.178092077	A1	S5
80.78911937	0.179976833	A1	S5
80.84908023	0.181854721	A1	S5
80.9090411	0.183394503	A1	S5
80.96900196	0.1848939	A1	S5
81.02896282	0.185862052	A1	S5
81.08892368	0.18466332	A1	S5
81.14888454	0.181137214	A1	S5
81.2088454	0.176766902	A1	S5
81.26880626	0.172373244	A1	S5
81.32876712	0.16972942	A1	S5
81.38872798	0.170604413	A1	S5
81.44868885	0.174418751	A1	S5
81.50864971	0.179760524	A1	S5
81.56861057	0.184736924	A1	S5
81.62857143	0.187602137	A1	S5
81.68853229	0.18808507	A1	S5
81.74849315	0.186881797	A1	S5
81.80845401	0.184395201	A1	S5
81.86841487	0.180312137	A1	S5
81.92837573	0.176038586	A1	S5
81.98833659	0.174022099	A1	S5
82.04829746	0.174826055	A1	S5
82.10825832	0.177362646	A1	S5
82.16821918	0.180024683	A1	S5
82.22818004	0.181410467	A1	S5
82.2881409	0.180863893	A1	S5
82.34810176	0.178203415	A1	S5
82.40806262	0.173390987	A1	S5
82.46802348	0.167773502	A1	S5
82.52798434	0.163599078	A1	S5
82.58794521	0.161430785	A1	S5
82.64790607	0.161041007	A1	S5
82.70786693	0.16275387	A1	S5
82.76782779	0.166349919	A1	S5
82.82778865	0.17090698	A1	S5
82.88774951	0.175104049	A1	S5
82.94771037	0.177433826	A1	S5
83.00767123	0.177378376	A1	S5
83.06763209	0.175633317	A1	S5
83.12759295	0.172769422	A1	S5
83.18755382	0.169185293	A1	S5
83.24751468	0.166389318	A1	S5
83.30747554	0.165428093	A1	S5
83.3674364	0.165828377	A1	S5
83.42739726	0.16695313	A1	S5
83.48735812	0.167815546	A1	S5
83.54731898	0.167804106	A1	S5
83.60727984	0.167069479	A1	S5
83.6672407	0.166271699	A1	S5
83.72720157	0.166124822	A1	S5
83.78716243	0.166278363	A1	S5
83.84712329	0.165673292	A1	S5
83.90708415	0.164383374	A1	S5
83.96704501	0.163625604	A1	S5
84.02700587	0.164367189	A1	S5
84.08696673	0.16641414	A1	S5
84.14692759	0.169134129	A1	S5
