temperature	df/dt	Sample	genotype		
80.67027397	0.461927296	A1	S20		
80.72943249	0.452932551	A1	S20		
80.788591	0.441135508	A1	S20		
80.84774951	0.429987928	A1	S20		
80.90690802	0.418827772	A1	S20		
80.96606654	0.407401985	A1	S20		
81.02522505	0.398091384	A1	S20		
81.08438356	0.3939955	A1	S20		
81.14354207	0.397536337	A1	S20		
81.20270059	0.406443017	A1	S20		
81.2618591	0.415409339	A1	S20		
81.32101761	0.420089347	A1	S20		
81.38017613	0.417276967	A1	S20		
81.43933464	0.406887459	A1	S20		
81.49849315	0.3931805	A1	S20		
81.55765166	0.383352029	A1	S20		
81.61681018	0.382102486	A1	S20		
81.67596869	0.387032242	A1	S20		
81.7351272	0.391888501	A1	S20		
81.79428571	0.392235956	A1	S20		
81.85344423	0.387207709	A1	S20		
81.91260274	0.379035093	A1	S20		
81.97176125	0.369479321	A1	S20		
82.03091977	0.362306292	A1	S20		
82.09007828	0.360503071	A1	S20		
82.14923679	0.361876162	A1	S20		
82.2083953	0.364990675	A1	S20		
82.26755382	0.370578433	A1	S20		
82.32671233	0.376761892	A1	S20		
82.38587084	0.380035703	A1	S20		
82.44502935	0.379165971	A1	S20		
82.50418787	0.374854074	A1	S20		
82.56334638	0.368060669	A1	S20		
82.62250489	0.35792779	A1	S20		
82.68166341	0.346116845	A1	S20		
82.74082192	0.337922997	A1	S20		
82.79998043	0.335694991	A1	S20		
82.85913894	0.337407115	A1	S20		
82.91829746	0.34150043	A1	S20		
82.97745597	0.347235231	A1	S20		
83.03661448	0.355435809	A1	S20		
83.09577299	0.365644843	A1	S20		
83.15493151	0.374996461	A1	S20		
83.21409002	0.382509871	A1	S20		
83.27324853	0.387096971	A1	S20		
83.33240705	0.387936239	A1	S20		
83.39156556	0.385680532	A1	S20		
83.45072407	0.380910299	A1	S20		
83.50988258	0.375045066	A1	S20		
83.5690411	0.372335943	A1	S20		
83.62819961	0.375281009	A1	S20		
83.68735812	0.380426784	A1	S20		
83.74651663	0.383698307	A1	S20		
83.80567515	0.384674467	A1	S20		
83.86483366	0.384308841	A1	S20		
83.92399217	0.381298905	A1	S20		
83.98315068	0.376212262	A1	S20		
84.0423092	0.374439423	A1	S20		
84.10146771	0.380362464	A1	S20		
84.16062622	0.393017928	A1	S20		
84.21978474	0.406871808	A1	S20		
84.27894325	0.416647752	A1	S20		
84.33810176	0.420171567	A1	S20		
84.39726027	0.41773546	A1	S20		
84.45641879	0.411318582	A1	S20		
84.5155773	0.401575827	A1	S20		
84.57473581	0.388969142	A1	S20		
84.63389432	0.375791562	A1	S20		
84.69305284	0.364718948	A1	S20		
84.75221135	0.359014288	A1	S20		
84.81136986	0.361136542	A1	S20		
84.87052838	0.368810338	A1	S20		
84.92968689	0.375817509	A1	S20		
84.9888454	0.379222721	A1	S20		
85.04800391	0.379031185	A1	S20		
85.10716243	0.373274099	A1	S20		
85.16632094	0.361462533	A1	S20		
85.22547945	0.347260253	A1	S20		
85.28463796	0.335415363	A1	S20		
85.34379648	0.328588874	A1	S20		
85.40295499	0.327443514	A1	S20		
85.4621135	0.331899646	A1	S20		
85.52127202	0.341060899	A1	S20		
85.58043053	0.351229312	A1	S20		
85.63958904	0.359240159	A1	S20		
85.69874755	0.364002196	A1	S20		
85.75790607	0.365566933	A1	S20		
85.81706458	0.366568572	A1	S20		
85.87622309	0.365372764	A1	S20		
85.9353816	0.35691842	A1	S20		
85.99454012	0.341590514	A1	S20		
86.05369863	0.324260869	A1	S20		
86.11285714	0.310374569	A1	S20		
86.17201566	0.303433967	A1	S20		
86.23117417	0.302021119	A1	S20		
86.29033268	0.302254947	A1	S20		
86.34949119	0.300485235	A1	S20		
86.40864971	0.295567768	A1	S20		
86.46780822	0.288346915	A1	S20		
86.52696673	0.280120345	A1	S20		
86.58612524	0.273979597	A1	S20		
86.64528376	0.273116674	A1	S20		
86.70444227	0.278160797	A1	S20		
86.76360078	0.288209873	A1	S20		
86.8227593	0.300883994	A1	S20		
86.88191781	0.310983747	A1	S20		
86.94107632	0.316250032	A1	S20		
87.00023483	0.317828008	A1	S20		
87.05939335	0.316404616	A1	S20		
87.11855186	0.31104345	A1	S20		
87.17771037	0.300334389	A1	S20		
87.23686888	0.285917368	A1	S20		
87.2960274	0.270944073	A1	S20		
87.35518591	0.258925922	A1	S20		
87.41434442	0.25135532	A1	S20		
87.47350294	0.248270155	A1	S20		
87.53266145	0.250929256	A1	S20		
87.59181996	0.259734062	A1	S20		
87.65097847	0.272919664	A1	S20		
87.71013699	0.286733163	A1	S20		
87.7692955	0.29723777	A1	S20		
87.82845401	0.304179475	A1	S20		
87.88761252	0.308219517	A1	S20		
87.94677104	0.308039183	A1	S20		
88.00592955	0.302085019	A1	S20		
88.06508806	0.289729951	A1	S20		
88.12424658	0.275416559	A1	S20		
88.18340509	0.265930718	A1	S20		
88.2425636	0.261878426	A1	S20		
88.30172211	0.260746156	A1	S20		
88.36088063	0.26357913	A1	S20		
88.42003914	0.271612248	A1	S20		
88.47919765	0.283056762	A1	S20		
88.53835616	0.293861324	A1	S20		
88.59751468	0.300558586	A1	S20		
88.65667319	0.300233054	A1	S20		
88.7158317	0.29128385	A1	S20		
88.77499022	0.277238332	A1	S20		
88.83414873	0.26474225	A1	S20		
88.89330724	0.258421949	A1	S20		
88.95246575	0.258497535	A1	S20		
89.01162427	0.259412854	A1	S20		
89.07078278	0.256356291	A1	S20		
89.12994129	0.251493141	A1	S20		
89.1890998	0.247483991	A1	S20		
89.24825832	0.243486903	A1	S20		
89.30741683	0.239380665	A1	S20		
89.36657534	0.236539382	A1	S20		
89.42573386	0.234631211	A1	S20		
89.48489237	0.232737113	A1	S20		
89.54405088	0.231326232	A1	S20		
89.60320939	0.231130619	A1	S20		
89.66236791	0.23194034	A1	S20		
89.72152642	0.233715736	A1	S20		
89.78068493	0.235935301	A1	S20		
89.83984344	0.236762066	A1	S20		
89.89900196	0.235784937	A1	S20		
89.95816047	0.235010682	A1	S20		
90.01731898	0.236103002	A1	S20		
90.0764775	0.23797274	A1	S20		
90.13563601	0.240490003	A1	S20		
90.19479452	0.245997983	A1	S20		
90.25395303	0.252635206	A1	S20		
90.31311155	0.256197174	A1	S20		
90.37227006	0.256159048	A1	S20		
90.43142857	0.25417005	A1	S20		
90.49058708	0.25010723	A1	S20		
90.5497456	0.243266008	A1	S20		
90.60890411	0.234837535	A1	S20		
90.66806262	0.22603313	A1	S20		
90.72722114	0.217189639	A1	S20		
90.78637965	0.210120864	A1	S20		
90.84553816	0.206276926	A1	S20		
90.90469667	0.203919139	A1	S20		
90.96385519	0.202043573	A1	S20		
91.0230137	0.200768945	A1	S20		
91.08217221	0.200702011	A1	S20		
91.14133072	0.202635266	A1	S20		
91.20048924	0.204116852	A1	S20		
91.25964775	0.202903367	A1	S20		
91.31880626	0.200894578	A1	S20		
91.37796477	0.200465719	A1	S20		
91.43712329	0.201926785	A1	S20		
91.4962818	0.203033061	A1	S20		
91.55544031	0.199941452	A1	S20		
91.61459883	0.190690526	A1	S20		
91.67375734	0.177687469	A1	S20		
91.73291585	0.165415983	A1	S20		
