Cycles	Fluorescence	Sample 	genotype
8	0.116491905	B6	N
9	0.187806634	B6	N
10	0.167801562	B6	N
11	0.025567919	B6	N
12	0.090408856	B6	N
13	0.236862885	B6	N
14	0.05535572	B6	N
15	0.146868809	B6	N
16	0.195762292	B6	N
17	0.146978607	B6	N
18	0.036954448	B6	N
19	0.095659315	B6	N
20	0.114372289	B6	N
21	0.062982267	B6	N
22	0.003044756	B6	N
23	-0.095917749	B6	N
24	-0.030219607	B6	N
25	0.053614008	B6	N
26	-0.142303325	B6	N
27	0.099610768	B6	N
28	-0.128806806	B6	N
29	-0.0348174	B6	N
30	0.020008648	B6	N
31	0.001488434	B6	N
32	-0.088441143	B6	N
33	0.016211236	B6	N
34	0.097508557	B6	N
35	0.335540178	B6	N
36	0.4279233	B6	N
37	1.044076328	B6	N
38	1.384426816	B6	N
39	1.703856205	B6	N
40	1.900297199	B6	N
1	0.152969492	C1	N
2	-0.036225854	C1	N
3	-0.06253385	C1	N
4	0.11802836	C1	N
5	0.059527107	C1	N
6	-0.078795764	C1	N
7	-0.007106053	C1	N
8	-0.033314426	C1	N
9	0.092753679	C1	N
10	0.077884207	C1	N
11	0.077949618	C1	N
12	-0.01790509	C1	N
13	-0.015291534	C1	N
14	-0.063483528	C1	N
15	-0.066139585	C1	N
16	-0.065288891	C1	N
17	-0.066139585	C1	N
18	0.031856482	C1	N
19	-0.014388749	C1	N
20	-0.055416511	C1	N
21	-0.003453622	C1	N
22	-0.06710405	C1	N
23	-0.069847958	C1	N
24	-0.111113473	C1	N
25	-0.173753055	C1	N
26	-0.231906849	C1	N
27	-0.119608583	C1	N
28	-0.056976875	C1	N
29	-0.057101995	C1	N
30	-0.269776419	C1	N
31	-0.118203093	C1	N
32	-0.222984753	C1	N
33	-0.161416204	C1	N
34	-0.116666897	C1	N
35	-0.171667621	C1	N
36	-0.228273677	C1	N
37	-0.121455	C1	N
38	-0.117718286	C1	N
39	-0.235216772	C1	N
40	-0.2866864	C1	N
1	-0.124789821	C2	N
2	0.008422143	C2	N
3	-0.070177495	C2	N
4	-0.001811028	C2	N
5	0.046509649	C2	N
6	0.017056731	C2	N
7	-0.069398142	C2	N
8	0.007895177	C2	N
9	0.128982564	C2	N
10	0.062179137	C2	N
11	0.062261705	C2	N
12	-0.028228339	C2	N
13	0.129900756	C2	N
14	0.08462046	C2	N
15	0.029981852	C2	N
16	-0.021043985	C2	N
17	-0.073733033	C2	N
18	-0.136497382	C2	N
19	-0.024737236	C2	N
20	0.040908398	C2	N
21	-0.013963227	C2	N
22	0.028624982	C2	N
23	-0.026414274	C2	N
24	-0.013425522	C2	N
25	-0.126388084	C2	N
26	-0.131253685	C2	N
27	-0.025419123	C2	N
28	-0.018400112	C2	N
29	-0.019480528	C2	N
30	-0.013643932	C2	N
31	0.077068397	C2	N
32	0.133584333	C2	N
33	0.453291307	C2	N
34	0.805765703	C2	N
35	1.740486688	C2	N
36	2.984076266	C2	N
37	4.693529202	C2	N
38	6.832009003	C2	N
39	8.523925075	C2	N
40	9.779285391	C2	N
1	-0.018653295	C3	S2
2	0.058270272	C3	S2
3	-0.067634967	C3	S2
4	0.048225684	C3	S2
5	0.04458499	C3	S2
6	-0.083445978	C3	S2
7	0.032889412	C3	S2
8	0.05666031	C3	S2
9	0.073731116	C3	S2
