temperature	df/dt	Sample	genotype
84.46722114	0.1445253	A1	S23
84.52688845	0.148096931	A1	S23
84.58655577	0.150342429	A1	S23
84.64622309	0.150944777	A1	S23
84.70589041	0.150151561	A1	S23
84.76555773	0.148851773	A1	S23
84.82522505	0.14745864	A1	S23
84.88489237	0.146191771	A1	S23
84.94455969	0.145134388	A1	S23
85.00422701	0.144245267	A1	S23
85.06389432	0.143499312	A1	S23
85.12356164	0.141333403	A1	S23
85.18322896	0.136744605	A1	S23
85.24289628	0.13145185	A1	S23
85.3025636	0.127752101	A1	S23
85.36223092	0.126125098	A1	S23
85.42189824	0.125367063	A1	S23
85.48156556	0.124044512	A1	S23
85.54123288	0.121803497	A1	S23
85.6009002	0.119182476	A1	S23
85.66056751	0.116193028	A1	S23
85.72023483	0.113232101	A1	S23
85.77990215	0.110623481	A1	S23
85.83956947	0.106700253	A1	S23
85.89923679	0.100455315	A1	S23
85.95890411	0.093433377	A1	S23
86.01857143	0.086481521	A1	S23
86.07823875	0.080745398	A1	S23
86.13790607	0.079570791	A1	S23
86.19757339	0.085817581	A1	S23
86.2572407	0.097505041	A1	S23
86.31690802	0.109148056	A1	S23
86.37657534	0.117907939	A1	S23
86.43624266	0.12400484	A1	S23
86.49590998	0.127723567	A1	S23
86.5555773	0.128958324	A1	S23
86.61524462	0.128167505	A1	S23
86.67491194	0.126824535	A1	S23
86.73457926	0.126656191	A1	S23
86.79424658	0.127196315	A1	S23
86.85391389	0.126430322	A1	S23
86.91358121	0.123697993	A1	S23
86.97324853	0.119622867	A1	S23
87.03291585	0.115041592	A1	S23
87.09258317	0.110235931	A1	S23
87.15225049	0.105348461	A1	S23
87.21191781	0.101393167	A1	S23
87.27158513	0.099269133	A1	S23
87.33125245	0.098441541	A1	S23
87.39091977	0.098047731	A1	S23
87.45058708	0.098430705	A1	S23
87.5102544	0.100516258	A1	S23
87.56992172	0.104211086	A1	S23
87.62958904	0.107618949	A1	S23
87.68925636	0.109040092	A1	S23
87.74892368	0.1083907	A1	S23
87.808591	0.106100111	A1	S23
87.86825832	0.102708633	A1	S23
87.92792564	0.098729896	A1	S23
87.98759295	0.094797015	A1	S23
88.04726027	0.091936271	A1	S23
88.10692759	0.0908136	A1	S23
88.16659491	0.090745518	A1	S23
88.22626223	0.091152868	A1	S23
88.28592955	0.093038012	A1	S23
88.34559687	0.096316477	A1	S23
88.40526419	0.099414432	A1	S23
88.46493151	0.1010791	A1	S23
88.52459883	0.10026753	A1	S23
88.58426614	0.097170673	A1	S23
88.64393346	0.093226761	A1	S23
88.70360078	0.089629563	A1	S23
88.7632681	0.087364726	A1	S23
88.82293542	0.087152361	A1	S23
88.88260274	0.088796701	A1	S23
88.94227006	0.091052518	A1	S23
89.00193738	0.09300064	A1	S23
89.0616047	0.094314949	A1	S23
89.12127202	0.095184396	A1	S23
89.18093933	0.096030082	A1	S23
89.24060665	0.096870776	A1	S23
89.30027397	0.097757719	A1	S23
89.35994129	0.098135986	A1	S23
89.41960861	0.097337519	A1	S23
89.47927593	0.095985137	A1	S23
89.53894325	0.093906113	A1	S23
89.59861057	0.089818726	A1	S23
89.65827789	0.08462414	A1	S23
89.71794521	0.080462422	A1	S23
89.77761252	0.078146426	A1	S23
89.83727984	0.077227867	A1	S23
89.89694716	0.076782148	A1	S23
89.95661448	0.075814514	A1	S23
90.0162818	0.074121054	A1	S23
90.07594912	0.072355057	A1	S23
90.13561644	0.071048652	A1	S23
90.19528376	0.070601671	A1	S23
90.25495108	0.071275124	A1	S23
90.3146184	0.073157156	A1	S23
90.37428571	0.076024809	A1	S23
90.43395303	0.07896474	A1	S23
90.49362035	0.081022457	A1	S23
90.55328767	0.081450781	A1	S23
90.61295499	0.079872022	A1	S23
90.67262231	0.077085551	A1	S23
90.73228963	0.074347924	A1	S23
90.79195695	0.071653846	A1	S23
90.85162427	0.068323231	A1	S23
90.91129159	0.064685603	A1	S23
90.9709589	0.0617835	A1	S23
91.03062622	0.060913003	A1	S23
91.09029354	0.062214633	A1	S23
91.14996086	0.064437578	A1	S23
91.20962818	0.066916536	A1	S23
91.2692955	0.069399632	A1	S23
91.32896282	0.070954251	A1	S23
91.38863014	0.071108126	A1	S23
91.44829746	0.070793876	A1	S23
91.50796477	0.070507081	A1	S23
91.56763209	0.069813552	A1	S23
91.62729941	0.067856221	A1	S23
91.68696673	0.064035247	A1	S23
91.74663405	0.05957365	A1	S23
91.80630137	0.055887816	A1	S23
91.86596869	0.053240415	A1	S23
91.92563601	0.052310575	A1	S23
91.98530333	0.053716989	A1	S23
92.04497065	0.056881771	A1	S23
92.10463796	0.060568169	A1	S23
92.16430528	0.063958835	A1	S23
92.2239726	0.066746866	A1	S23
92.28363992	0.068837032	A1	S23
92.34330724	0.069478701	A1	S23
92.40297456	0.068031631	A1	S23
92.46264188	0.065225417	A1	S23
92.5223092	0.061858137	A1	S23
92.58197652	0.058120476	A1	S23
92.64164384	0.055313243	A1	S23
92.70131115	0.055075521	A1	S23
92.76097847	0.056694408	A1	S23
92.82064579	0.058258327	A1	S23
92.88031311	0.058623668	A1	S23
92.93998043	0.057029314	A1	S23
92.99964775	0.053335424	A1	S23
93.05931507	0.048789293	A1	S23
93.11898239	0.04483565	A1	S23
93.17864971	0.042636408	A1	S23
93.23831703	0.042469899	A1	S23
93.29798434	0.044400946	A1	S23
93.35765166	0.048685071	A1	S23
93.41731898	0.053775313	A1	S23
93.4769863	0.056983978	A1	S23
93.53665362	0.056942367	A1	S23
93.59632094	0.055019468	A1	S23
93.65598826	0.053462916	A1	S23
93.71565558	0.053384167	A1	S23
93.7753229	0.054755317	A1	S23
93.83499022	0.056311281	A1	S23
93.89465753	0.056645371	A1	S23
93.95432485	0.055273765	A1	S23
94.01399217	0.053273896	A1	S23
