temperature	df/dt	Sample	genotype
89.74465753	0.127521962	B3	S2
89.80436399	0.126624656	B3	S2
89.86407045	0.125397736	B3	S2
89.92377691	0.124355305	B3	S2
89.98348337	0.124521278	B3	S2
90.04318982	0.126017824	B3	S2
90.10289628	0.128255344	B3	S2
90.16260274	0.129939507	B3	S2
90.2223092	0.129436014	B3	S2
90.28201566	0.12687914	B3	S2
90.34172211	0.124009095	B3	S2
90.40142857	0.122612093	B3	S2
90.46113503	0.123196865	B3	S2
90.52084149	0.124410772	B3	S2
90.58054795	0.124823662	B3	S2
90.6402544	0.123236622	B3	S2
90.69996086	0.119816501	B3	S2
90.75966732	0.116214731	B3	S2
90.81937378	0.113288716	B3	S2
90.87908023	0.111496388	B3	S2
90.93878669	0.109636374	B3	S2
90.99849315	0.105967309	B3	S2
91.05819961	0.101761095	B3	S2
91.11790607	0.09942444	B3	S2
91.17761252	0.099781908	B3	S2
91.23731898	0.103156533	B3	S2
91.29702544	0.109078278	B3	S2
91.3567319	0.115153962	B3	S2
91.41643836	0.118914211	B3	S2
91.47614481	0.118295344	B3	S2
91.53585127	0.112655537	B3	S2
91.59555773	0.104047337	B3	S2
91.65526419	0.094996874	B3	S2
91.71497065	0.088034411	B3	S2
91.7746771	0.084873097	B3	S2
91.83438356	0.085810146	B3	S2
91.89409002	0.090182906	B3	S2
91.95379648	0.097109042	B3	S2
92.01350294	0.106423568	B3	S2
92.07320939	0.115495504	B3	S2
92.13291585	0.119944889	B3	S2
92.19262231	0.118845466	B3	S2
92.25232877	0.114293426	B3	S2
92.31203523	0.108326036	B3	S2
92.37174168	0.102287628	B3	S2
92.43144814	0.0970037	B3	S2
92.4911546	0.092908635	B3	S2
92.55086106	0.090515028	B3	S2
92.61056751	0.090542641	B3	S2
92.67027397	0.092089702	B3	S2
92.72998043	0.092896978	B3	S2
92.78968689	0.09165353	B3	S2
92.84939335	0.088245185	B3	S2
92.9090998	0.084908281	B3	S2
92.96880626	0.084343595	B3	S2
93.02851272	0.086047874	B3	S2
93.08821918	0.088803674	B3	S2
93.14792564	0.092485616	B3	S2
93.20763209	0.096899953	B3	S2
93.26733855	0.101308877	B3	S2
93.32704501	0.105070169	B3	S2
93.38675147	0.107561455	B3	S2
93.44645793	0.107329189	B3	S2
93.50616438	0.10323932	B3	S2
93.56587084	0.095858175	B3	S2
93.6255773	0.087717585	B3	S2
93.68528376	0.081151321	B3	S2
93.74499022	0.076377659	B3	S2
93.80469667	0.073398951	B3	S2
93.86440313	0.07235997	B3	S2
93.92410959	0.072570713	B3	S2
93.98381605	0.072266569	B3	S2
94.0435225	0.070122607	B3	S2
94.10322896	0.06702202	B3	S2
94.16293542	0.065730705	B3	S2
94.22264188	0.068445343	B3	S2
94.28234834	0.073920489	B3	S2
94.34205479	0.079485602	B3	S2
94.40176125	0.08450868	B3	S2
94.46146771	0.090245411	B3	S2
94.52117417	0.09707422	B3	S2
94.58088063	0.104080522	B3	S2
94.64058708	0.10993882	B3	S2
94.70029354	0.113356242	B3	S2
94.76	0.113356242	B3	S2
64.25	-0.083485216	C3	S2
64.30970646	-0.083485216	C3	S2
64.36941292	-0.012911176	C3	S2
64.42911937	0.072210552	C3	S2
64.48882583	0.153698992	C3	S2
64.54853229	0.232350626	C3	S2
64.60823875	0.309025345	C3	S2
64.66794521	0.362981945	C3	S2
64.72765166	0.391269087	C3	S2
64.78735812	0.421716419	C3	S2
64.84706458	0.472021243	C3	S2
64.90677104	0.535335252	C3	S2
64.9664775	0.601490702	C3	S2
65.02618395	0.659422154	C3	S2
65.08589041	0.704174613	C3	S2
65.14559687	0.737862659	C3	S2
65.20530333	0.762686492	C3	S2
65.26500978	0.779251533	C3	S2
65.32471624	0.788826297	C3	S2
65.3844227	0.79440575	C3	S2
65.44412916	0.798758134	C3	S2
65.50383562	0.803147716	C3	S2
65.56354207	0.803336113	C3	S2
65.62324853	0.796466003	C3	S2
65.68295499	0.784642532	C3	S2
65.74266145	0.766561887	C3	S2
65.80236791	0.743905705	C3	S2
65.86207436	0.723563592	C3	S2
65.92178082	0.710701793	C3	S2
65.98148728	0.704811492	C3	S2
66.04119374	0.705166374	C3	S2
66.1009002	0.713750218	C3	S2
66.16060665	0.72831275	C3	S2
66.22031311	0.747681659	C3	S2
66.28001957	0.778428078	C3	S2
66.33972603	0.821443407	C3	S2
66.39943249	0.865352889	C3	S2
66.45913894	0.900121095	C3	S2
66.5188454	0.924339103	C3	S2
66.57855186	0.940796063	C3	S2
66.63825832	0.952897531	C3	S2
66.69796477	0.965090122	C3	S2
66.75767123	0.977283803	C3	S2
66.81737769	0.986276059	C3	S2
66.87708415	0.993247675	C3	S2
66.93679061	1.000688119	C3	S2
66.99649706	1.009382432	C3	S2
67.05620352	1.017366487	C3	S2
67.11590998	1.024420698	C3	S2
67.17561644	1.039748505	C3	S2
67.2353229	1.071452284	C3	S2
67.29502935	1.112760837	C3	S2
67.35473581	1.152998308	C3	S2
67.41444227	1.186798867	C3	S2
67.47414873	1.213982912	C3	S2
67.53385519	1.239769251	C3	S2
67.59356164	1.266297056	C3	S2
67.6532681	1.293047291	C3	S2
67.71297456	1.320124574	C3	S2
67.77268102	1.349627761	C3	S2
67.83238748	1.384215944	C3	S2
67.89209393	1.420913045	C3	S2
67.95180039	1.454439341	C3	S2
68.01150685	1.486443068	C3	S2
68.07121331	1.526677165	C3	S2
68.13091977	1.577835634	C3	S2
68.19062622	1.634924067	C3	S2
68.25033268	1.696504616	C3	S2
68.31003914	1.761167691	C3	S2
68.3697456	1.824361878	C3	S2
68.42945205	1.888455293	C3	S2
68.48915851	1.961157203	C3	S2
68.54886497	2.046211209	C3	S2
68.60857143	2.138191471	C3	S2
68.66827789	2.228734976	C3	S2
68.72798434	2.313220864	C3	S2
68.7876908	2.393228563	C3	S2
68.84739726	2.475100724	C3	S2
68.90710372	2.561615197	C3	S2
68.96681018	2.652820997	C3	S2
69.02651663	2.747032493	C3	S2
69.08622309	2.844040066	C3	S2
69.14592955	2.944479399	C3	S2
69.20563601	3.043578468	C3	S2
69.26534247	3.135294967	C3	S2
69.32504892	3.228959045	C3	S2
69.38475538	3.338002149	C3	S2
69.44446184	3.457722697	C3	S2
69.5041683	3.586017065	C3	S2
69.56387476	3.729918669	C3	S2
69.62358121	3.880869257	C3	S2
69.68328767	4.025127928	C3	S2
69.74299413	4.160676321	C3	S2
69.80270059	4.283478133	C3	S2
69.86240705	4.39773405	C3	S2
69.9221135	4.516410303	C3	S2
69.98181996	4.648171067	C3	S2
70.04152642	4.800909723	C3	S2
70.10123288	4.973373433	C3	S2
70.16093933	5.154788445	C3	S2
70.22064579	5.338036005	C3	S2
70.28035225	5.523351589	C3	S2
70.34005871	5.72155006	C3	S2
70.39976517	5.939470855	C3	S2
70.45947162	6.173967854	C3	S2
70.51917808	6.4255978	C3	S2
70.57888454	6.689918598	C3	S2
70.638591	6.954953256	C3	S2
70.69829746	7.214279025	C3	S2
70.75800391	7.465470372	C3	S2
70.81771037	7.71288567	C3	S2
70.87741683	7.960506314	C3	S2
70.93712329	8.211543537	C3	S2
70.99682975	8.474635382	C3	S2
71.0565362	8.737029257	C3	S2
71.11624266	8.965074441	C3	S2
71.17594912	9.15085229	C3	S2
71.23565558	9.318662647	C3	S2
71.29536204	9.472943425	C3	S2
71.35506849	9.591543566	C3	S2
71.41477495	9.657594811	C3	S2
71.47448141	9.670828932	C3	S2
