Cycles	Fluorescence	Sample	genotype
29	0.648202411	C1	N
30	0.431652469	C1	N
31	0.509149067	C1	N
32	0.429541856	C1	N
33	0.432766226	C1	N
34	0.354173182	C1	N
35	0.353114097	C1	N
36	0.35530116	C1	N
37	0.43463252	C1	N
38	0.276656137	C1	N
39	0.584497158	C1	N
40	0.581266706	C1	N
1	-0.049004043	C2	N
2	-0.124189302	C2	N
3	0.083583923	C2	N
4	0.016847733	C2	N
5	0.009166827	C2	N
6	0.014590819	C2	N
7	0.013692669	C2	N
8	0.090306512	C2	N
9	0.158611716	C2	N
10	0.149965036	C2	N
11	0.299370325	C2	N
12	0.22980029	C2	N
13	0.155304116	C2	N
14	0.088055865	C2	N
15	0.232844337	C2	N
16	0.453411899	C2	N
17	0.371993887	C2	N
18	0.449092559	C2	N
19	0.372666664	C2	N
20	0.306603914	C2	N
21	0.243397839	C2	N
22	0.296742535	C2	N
23	0.383711207	C2	N
24	0.461779935	C2	N
25	0.503108353	C2	N
26	0.638825382	C2	N
27	0.422825687	C2	N
28	0.349624198	C2	N
29	0.49182481	C2	N
30	0.284329451	C2	N
31	0.429539953	C2	N
32	0.426213193	C2	N
33	0.28524175	C2	N
34	0.42630696	C2	N
35	0.497060478	C2	N
36	0.355447925	C2	N
37	0.502098845	C2	N
38	0.496144779	C2	N
39	0.429326453	C2	N
40	0.426795541	C2	N
1	-0.130102078	C3	N
2	-0.13302384	C3	N
3	-0.072010863	C3	N
4	0.140887002	C3	N
5	0.063989143	C3	N
6	0.000158559	C3	N
7	0.206825876	C3	N
8	0.142308324	C3	N
9	0.069281691	C3	N
10	0.061049924	C3	N
11	0.273638114	C3	N
12	0.068447727	C3	N
13	0.204486204	C3	N
14	0.001703622	C3	N
15	0.209905666	C3	N
16	0.352435136	C3	N
17	0.205056145	C3	N
18	0.20978821	C3	N
19	0.344074259	C3	N
20	0.211464836	C3	N
21	0.011956556	C3	N
22	0.132817462	C3	N
23	0.216073269	C3	N
24	0.360412969	C3	N
25	0.262124824	C3	N
26	0.255020167	C3	N
27	0.254189336	C3	N
28	0.184008297	C3	N
29	0.320589011	C3	N
30	0.259011929	C3	N
31	0.260555356	C3	N
32	0.257463754	C3	N
33	0.397752348	C3	N
34	0.188636722	C3	N
35	0.32544507	C3	N
36	0.189511236	C3	N
37	0.330235783	C3	N
38	0.324592742	C3	N
39	0.467253558	C3	N
40	0.39588152	C3	N
1	-0.084398623	C4	N
2	-0.020536102	C4	N
3	-0.030121289	C4	N
4	0.110221952	C4	N
5	0.034275118	C4	N
6	-0.093839679	C4	N
7	0.173765021	C4	N
8	-0.022462287	C4	N
9	0.107594082	C4	N
10	-0.169939991	C4	N
11	-0.030134239	C4	N
12	-0.094680127	C4	N
13	-0.030147687	C4	N
14	-0.293510232	C4	N
15	-0.09134329	C4	N
16	-0.087117696	C4	N
17	0.037709574	C4	N
18	-0.158547498	C4	N
19	0.038474982	C4	N
20	0.111972424	C4	N
21	-0.214965276	C4	N
22	-0.032816962	C4	N
23	-0.017323092	C4	N
24	0.056036349	C4	N
25	0.091554763	C4	N
26	0.016993289	C4	N
27	-0.050688219	C4	N
28	-0.118920552	C4	N
29	-0.119897358	C4	N
30	-0.112375354	C4	N
31	-0.043831814	C4	N
32	-0.113933816	C4	N
33	-0.111407276	C4	N
34	-0.113859894	C4	N
35	-0.047975355	C4	N
36	-0.246646811	C4	N
