temperature	df/dt	Sample	genotype
69.35005871	1.114839054	A1	S9
69.40970646	1.145737674	A1	S9
69.46935421	1.180019785	A1	S9
69.52900196	1.223670253	A1	S9
69.58864971	1.277326023	A1	S9
69.64829746	1.340776509	A1	S9
69.70794521	1.413862599	A1	S9
69.76759295	1.497008526	A1	S9
69.8272407	1.590098777	A1	S9
69.88688845	1.691969375	A1	S9
69.9465362	1.799278316	A1	S9
70.00618395	1.903282835	A1	S9
70.0658317	2.001509104	A1	S9
70.12547945	2.099281601	A1	S9
70.1851272	2.20361032	A1	S9
70.24477495	2.317070118	A1	S9
70.3044227	2.436086948	A1	S9
70.36407045	2.555949014	A1	S9
70.4237182	2.673509255	A1	S9
70.48336595	2.792558253	A1	S9
70.5430137	2.913644037	A1	S9
70.60266145	3.03176565	A1	S9
70.6623092	3.153193744	A1	S9
70.72195695	3.291705216	A1	S9
70.7816047	3.448635811	A1	S9
70.84125245	3.613473879	A1	S9
70.9009002	3.787987736	A1	S9
70.96054795	3.981464169	A1	S9
71.02019569	4.196747554	A1	S9
71.07984344	4.42513687	A1	S9
71.13949119	4.644383716	A1	S9
71.19913894	4.838643218	A1	S9
71.25878669	5.015250131	A1	S9
71.31843444	5.178725862	A1	S9
71.37808219	5.331453685	A1	S9
71.43772994	5.500849894	A1	S9
71.49737769	5.713483499	A1	S9
71.55702544	5.9719051	A1	S9
71.61667319	6.271336238	A1	S9
71.67632094	6.60497043	A1	S9
71.73596869	6.960973697	A1	S9
71.79561644	7.326705744	A1	S9
71.85526419	7.698392775	A1	S9
71.91491194	8.083043666	A1	S9
71.97455969	8.488082373	A1	S9
72.03420744	8.925695329	A1	S9
72.09385519	9.393144296	A1	S9
72.15350294	9.878438672	A1	S9
72.21315068	10.36481291	A1	S9
72.27279843	10.83096963	A1	S9
72.33244618	11.28205937	A1	S9
72.39209393	11.72464954	A1	S9
72.45174168	12.15098293	A1	S9
72.51138943	12.56781474	A1	S9
72.57103718	12.99292673	A1	S9
72.63068493	13.43728986	A1	S9
72.69033268	13.87966582	A1	S9
72.74998043	14.2823735	A1	S9
72.80962818	14.61101372	A1	S9
72.86927593	14.84685163	A1	S9
72.92892368	15.00502922	A1	S9
72.98857143	15.08370766	A1	S9
73.04821918	15.05304772	A1	S9
73.10786693	14.90680048	A1	S9
73.16751468	14.67819753	A1	S9
73.22716243	14.41389552	A1	S9
73.28681018	14.1329468	A1	S9
73.34645793	13.8457351	A1	S9
73.40610568	13.55759196	A1	S9
73.46575342	13.26426494	A1	S9
73.52540117	12.94774865	A1	S9
73.58504892	12.57332255	A1	S9
73.64469667	12.11964097	A1	S9
73.70434442	11.5970781	A1	S9
73.76399217	11.0301894	A1	S9
73.82363992	10.42274925	A1	S9
73.88328767	9.768769801	A1	S9
73.94293542	9.07474786	A1	S9
74.00258317	8.358325535	A1	S9
74.06223092	7.652423186	A1	S9
74.12187867	6.994308029	A1	S9
74.18152642	6.399239761	A1	S9
74.24117417	5.868548368	A1	S9
74.30082192	5.388876622	A1	S9
74.36046967	4.935448974	A1	S9
74.42011742	4.499377931	A1	S9
74.47976517	4.08936725	A1	S9
74.53941292	3.7051882	A1	S9
74.59906067	3.340680639	A1	S9
74.65870841	2.99544288	A1	S9
74.71835616	2.673048434	A1	S9
74.77800391	2.376115883	A1	S9
74.83765166	2.107723786	A1	S9
74.89729941	1.869236029	A1	S9
